00:15:02:| new chat ID:1885039700Rose Crypto (Free Private Channel by Crypto Hunters)Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']
16:32:30:| new chat ID:1885039700Rose Crypto (Free Private Channel by Crypto Hunters)Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

16:55:55:| new chat ID:1885039700Rose Crypto (Free Private Channel by Crypto Hunters)Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

17:25:57:| new chat ID:1885039700Rose Crypto (Free Private Channel by Crypto Hunters)Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

17:42:20:| new chat ID:1885039700Rose Crypto (Free Private Channel by Crypto Hunters)Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

17:47:04:| new chat ID:1885039700Rose Crypto (Free Private Channel by Crypto Hunters)Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

17:48:25:| new chat ID:1885039700Rose Crypto (Free Private Channel by Crypto Hunters)Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

18:06:00:| new chat ID:1175262142GG-Shøt. Indicator & SignalsDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

18:46:48:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

21:36:23:| new chat ID:1885039700Rose Crypto (Free Private Channel by Crypto Hunters)Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

21:36:26:| new chat ID:1885039700Rose Crypto (Free Private Channel by Crypto Hunters)Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

22:01:54:| new chat ID:1885039700Rose Crypto (Free Private Channel by Crypto Hunters)Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

22:08:02:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

22:09:02:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

22:09:04:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

22:09:06:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

22:09:08:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

22:09:10:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

22:09:12:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

22:09:14:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

22:09:15:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

22:40:21:| new chat ID:1480838869GG Shot LeakedDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

23:01:46:| new chat ID:1885039700Rose Crypto (Free Private Channel by Crypto Hunters)Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

23:01:53:| new chat ID:1885039700Rose Crypto (Free Private Channel by Crypto Hunters)Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

23:37:25:| new chat ID:1885039700Rose Crypto (Free Private Channel by Crypto Hunters)Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058']

