00:00:01:| new chat ID:1649213804ARB | BUTUH BANSOSDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']
00:06:39:| new chat ID:1649213804bankaiDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:07:06:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:07:30:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:08:04:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:08:27:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:08:50:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:09:09:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:09:26:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:09:50:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:10:12:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:10:30:| new chat ID:1649213804azka 199Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:10:42:| new chat ID:1649213804azka 199Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:11:02:| new chat ID:1649213804azka 199Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:11:13:| new chat ID:1649213804BIG EYES COINDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:11:47:| new chat ID:1649213804حوده الاسوانيDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:12:08:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:12:37:| new chat ID:1649213804ZoeDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:13:00:| new chat ID:1649213804Iqboy17 | Just A Random Guy | Soon JP 1000$Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:13:16:| new chat ID:1649213804ZoeDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:13:39:| new chat ID:1649213804Iqboy17 | Just A Random Guy | Soon JP 1000$Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:14:02:| new chat ID:1649213804ElegguaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:14:26:| new chat ID:1649213804ElegguaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:14:39:| new chat ID:1649213804AvniDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:14:57:| new chat ID:1649213804valen AsmaraDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:15:22:| new chat ID:1649213804ElegguaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:15:45:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:16:15:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:16:36:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:16:55:| new chat ID:1649213804øld.codmDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:17:21:| new chat ID:1649213804BIG EYES COINDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:17:40:| new chat ID:1649213804øld.codmDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:17:57:| new chat ID:1649213804øld.codmDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:18:16:| new chat ID:1649213804Cryptoluv.arbDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:18:32:| new chat ID:1649213804Cryptoluv.arbDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:18:52:| new chat ID:1649213804Cryptoluv.arbDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:19:15:| new chat ID:1649213804azka 199Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:19:34:| new chat ID:1649213804azka 199Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:19:59:| new chat ID:1649213804azka 199Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:20:22:| new chat ID:1649213804DenisDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:20:30:| new chat ID:1649213804azka 199Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:20:58:| new chat ID:1649213804øld.codmDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:21:24:| new chat ID:1649213804Cryptoluv.arbDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:21:59:| new chat ID:1649213804imrdnsyh |Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:22:14:| new chat ID:1649213804imrdnsyh |Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:22:35:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:22:47:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:23:02:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:23:33:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:23:58:| new chat ID:1649213804bankaiDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:24:23:| new chat ID:1649213804who the fuck are u ?Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:24:48:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:25:07:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:25:30:| new chat ID:1649213804who the fuck are u ?Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:25:49:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:26:15:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:26:40:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:26:57:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:27:11:| new chat ID:1649213804who the fuck are u ?Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:27:29:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:27:41:| new chat ID:1649213804who the fuck are u ?Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:27:53:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:28:08:| new chat ID:1649213804who the fuck are u ?Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:28:17:| new chat ID:1649213804BIG EYES COINDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:28:47:| new chat ID:1649213804ARB | BUTUH BANSOSDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:29:03:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:29:18:| new chat ID:1649213804Mariko Mady Kane GSM SOLUTIONDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:29:31:| new chat ID:1649213804ARB | BUTUH BANSOSDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:29:53:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:30:20:| new chat ID:1649213804ARB | BUTUH BANSOSDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:30:31:| new chat ID:1649213804Mariko Mady Kane GSM SOLUTIONDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:30:56:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:31:09:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:31:29:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:31:48:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:32:09:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:32:23:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:32:42:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:33:07:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:33:18:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:33:46:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:34:04:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:34:23:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:34:53:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:35:26:| new chat ID:1649213804azka 199Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:35:46:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:35:57:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:36:26:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:36:45:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:36:50:| new chat ID:1649213804BIG EYES COINDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:37:13:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:37:33:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:37:51:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:38:17:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:38:51:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:39:12:| new chat ID:1649213804who the fuck are u ?Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:39:36:| new chat ID:1649213804azka 199Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:39:52:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:40:17:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:40:32:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:41:00:| new chat ID:1649213804ARB | BUTUH BANSOSDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:41:31:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:41:51:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:42:14:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:42:45:| new chat ID:1649213804ARB | BUTUH BANSOSDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:43:05:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:43:36:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:43:53:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:44:14:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:44:33:| new chat ID:1649213804ARB | BUTUH BANSOSDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:44:56:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:45:19:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:45:44:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:46:07:| new chat ID:1649213804ZoeDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:46:27:| new chat ID:1649213804ZoeDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:46:56:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:47:22:| new chat ID:1649213804San Qian TheOneDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:47:48:| new chat ID:1649213804Cryptonemies.eth 🚢 SEIDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:48:13:| new chat ID:1649213804Cryptonemies.eth 🚢 SEIDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:48:42:| new chat ID:1649213804daniDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:49:06:| new chat ID:1649213804daniDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:49:18:| new chat ID:1649213804Johnny DillsDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:49:22:| new chat ID:1649213804BIG EYES COINDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:49:45:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:50:12:| new chat ID:1649213804Cryptonemies.eth 🚢 SEIDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:50:28:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:50:48:| new chat ID:1649213804ElegguaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:51:09:| new chat ID:1649213804ElegguaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:51:40:| new chat ID:1649213804daniDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:52:06:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:52:39:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:53:03:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:53:24:| new chat ID:1649213804daniDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:53:46:| new chat ID:1649213804Cryptonemies.eth 🚢 SEIDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:54:08:| new chat ID:1649213804daniDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:54:31:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:55:06:| new chat ID:1649213804Cryptonemies.eth 🚢 SEIDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:55:21:| new chat ID:1649213804daniDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:55:41:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:56:06:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:56:34:| new chat ID:1649213804Cryptonemies.eth 🚢 SEIDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:56:50:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:57:31:| new chat ID:1649213804valen AsmaraDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:57:47:| new chat ID:1649213804zambronxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:58:05:| new chat ID:1649213804Ahyudi 🗿Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:58:33:| new chat ID:1649213804Ahyudi 🗿Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:58:54:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:59:29:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

00:59:46:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:00:03:| new chat ID:1649213804zambronxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:00:24:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:00:44:| new chat ID:1649213804ElegguaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:01:05:| new chat ID:1649213804zambronxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:01:27:| new chat ID:1649213804Lil BitDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:02:00:| new chat ID:1649213804Lil BitDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:02:26:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:02:56:| new chat ID:1649213804valen AsmaraDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:03:11:| new chat ID:1649213804Lil BitDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:03:32:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:04:07:| new chat ID:1649213804Lil BitDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:04:13:| new chat ID:1649213804BIG EYES COINDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:04:45:| new chat ID:16492138040x AlecxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:05:16:| new chat ID:16492138040x AlecxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:05:38:| new chat ID:1649213804zambronxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:06:03:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:06:27:| new chat ID:1649213804zambronxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

01:06:42:| new chat ID:1649213804Iqboy17 | Just A Random Guy | Soon JP 1000$Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

