07:28:30:| new chat ID:1781264371Predictūm signals | CryptoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']
18:13:27:| new chat ID:1649213804®Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:13:30:| new chat ID:1649213804who the fuck are u ?Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:13:46:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:14:13:| new chat ID:1649213804who the fuck are u ?Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:14:21:| new chat ID:1649213804BIG EYES COINDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:14:41:| new chat ID:1649213804ARB | BUTUH BANSOSDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:15:12:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:15:25:| new chat ID:1649213804Mariko Mady Kane GSM SOLUTIONDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:15:34:| new chat ID:1649213804ARB | BUTUH BANSOSDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:15:50:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:16:08:| new chat ID:1649213804ARB | BUTUH BANSOSDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:16:20:| new chat ID:1649213804Mariko Mady Kane GSM SOLUTIONDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:16:44:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:17:03:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:17:20:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:17:39:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:18:04:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:18:20:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:18:28:| new chat ID:1649213804Titan UnlocksDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:18:32:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:18:52:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:19:05:| new chat ID:1649213804CriptoreviDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:19:32:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:19:58:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:20:19:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:20:33:| new chat ID:1649213804Jack | PENGEN JPDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:20:54:| new chat ID:1649213804azka 199Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:21:18:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:21:51:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:22:04:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:22:22:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:22:39:| new chat ID:1649213804BIG EYES COINDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:23:00:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:23:31:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:23:48:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:24:06:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:24:35:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:24:49:| new chat ID:1649213804who the fuck are u ?Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:25:08:| new chat ID:1649213804azka 199Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:25:30:| new chat ID:1649213804YOoDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:25:43:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:26:06:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:26:28:| new chat ID:1649213804ARB | BUTUH BANSOSDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:26:47:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:27:03:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:27:20:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:27:41:| new chat ID:1649213804ARB | BUTUH BANSOSDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:28:00:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:28:13:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:28:29:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:28:47:| new chat ID:1649213804Neil TurneyDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:28:50:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:29:10:| new chat ID:1649213804ARB | BUTUH BANSOSDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:29:30:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:29:37:| new chat ID:1649213804Ecthor13Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:29:57:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:30:12:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:30:29:| new chat ID:1649213804🟣 Mochi | I Never DM FirstDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:30:30:| new chat ID:1649213804🟣 Mochi | I Never DM FirstDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:30:34:| new chat ID:1649213804ZoeDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:30:36:| new chat ID:1649213804🟣 Mochi | I Never DM FirstDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:30:44:| new chat ID:1649213804🟣 Mochi | I Never DM FirstDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:30:47:| new chat ID:1649213804🟣 Mochi | I Never DM FirstDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:30:52:| new chat ID:1649213804🟣 Mochi | I Never DM FirstDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:30:57:| new chat ID:1649213804ZoeDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:31:20:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:31:46:| new chat ID:1649213804San Qian TheOneDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:32:08:| new chat ID:1649213804Cryptonemies.eth 🚢 SEIDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:32:25:| new chat ID:1649213804Cryptonemies.eth 🚢 SEIDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:32:52:| new chat ID:1649213804daniDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:33:12:| new chat ID:1649213804daniDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:33:33:| new chat ID:1649213804BIG EYES COINDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:33:42:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:34:10:| new chat ID:1649213804Cryptonemies.eth 🚢 SEIDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:34:33:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:34:56:| new chat ID:1649213804ElegguaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:35:16:| new chat ID:1649213804ElegguaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:35:17:| new chat ID:1649213804manuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:35:36:| new chat ID:1649213804daniDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:36:03:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:36:37:| new chat ID:1244131552Rose Premium Signals 🌹Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:36:47:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:37:10:| new chat ID:1244131552Rose Premium Signals 🌹Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:37:11:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:37:37:| new chat ID:1649213804daniDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:37:54:| new chat ID:1649213804Cryptonemies.eth 🚢 SEIDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:38:19:| new chat ID:1244131552Rose Premium Signals 🌹Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:38:21:| new chat ID:1649213804daniDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:38:42:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:39:05:| new chat ID:1649213804Cryptonemies.eth 🚢 SEIDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:39:22:| new chat ID:1649213804daniDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:39:44:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:40:07:| new chat ID:1244131552Rose Premium Signals 🌹Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:40:09:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:40:34:| new chat ID:1649213804Cryptonemies.eth 🚢 SEIDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:40:53:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:41:22:| new chat ID:1649213804valen AsmaraDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:41:53:| new chat ID:1649213804zambronxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:42:12:| new chat ID:1649213804Ahyudi 🗿Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:42:40:| new chat ID:1649213804Ahyudi 🗿Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:42:52:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:43:09:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:43:42:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:44:08:| new chat ID:1649213804zambronxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:44:45:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:45:01:| new chat ID:1649213804ElegguaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:45:29:| new chat ID:1649213804zambronxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:45:52:| new chat ID:1649213804Lil BitDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:46:15:| new chat ID:1649213804Lil BitDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:46:30:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:46:47:| new chat ID:1649213804valen AsmaraDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:47:08:| new chat ID:1649213804Lil BitDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:47:30:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:47:58:| new chat ID:1649213804Lil BitDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:48:05:| new chat ID:1649213804BIG EYES COINDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:48:36:| new chat ID:16492138040x AlecxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:48:51:| new chat ID:16492138040x AlecxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:49:21:| new chat ID:1649213804zambronxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:49:46:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:50:12:| new chat ID:1649213804zambronxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:50:40:| new chat ID:1649213804Iqboy17 | Just A Random Guy | Soon JP 1000$Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:51:08:| new chat ID:1649213804Iqboy17 | Just A Random Guy | Soon JP 1000$Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:51:29:| new chat ID:1649213804Iqboy17 | Just A Random Guy | Soon JP 1000$Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:51:44:| new chat ID:1649213804spicy piscesDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:52:00:| new chat ID:1649213804Iqboy17 | Just A Random Guy | Soon JP 1000$Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:52:22:| new chat ID:1649213804Ara AraaaaDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:52:56:| new chat ID:1649213804spicy piscesDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:53:31:| new chat ID:1649213804zambronxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:53:55:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:54:10:| new chat ID:1649213804Iqboy17 | Just A Random Guy | Soon JP 1000$Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:54:33:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:54:47:| new chat ID:1649213804Iqboy17 | Just A Random Guy | Soon JP 1000$Didnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:55:12:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:55:34:| new chat ID:1649213804danuelDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:55:47:| new chat ID:1649213804BIG EYES COINDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:56:08:| new chat ID:1649213804spicy piscesDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:56:21:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:56:42:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:57:04:| new chat ID:1649213804BejoWhaleDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:57:25:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:57:49:| new chat ID:1649213804HorizonDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:58:08:| new chat ID:1649213804zambronxDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

18:58:13:| new chat ID:1649213804bankaiDidnt match: ['1548802426', '1248393106', '1558766055', '1825288627', '1737189058', '1175262142', '1872890428']

